State,mean_ndvi,Mean_Sunshine,Year
DEBW,0.2411295577540994,183.2193328661528,2012
DEBY,0.2322196486900424,179.08227246871445,2012
DEHB,0.2158914043066074,149.6953177257525,2012
DEHE,0.2630742854074299,161.41444597613724,2012
DEHH,0.2169750375956531,150.68988173455978,2012
DEMV,0.2454038807905571,165.85747005857155,2012
DENI,0.2558437780313563,150.8747005988024,2012
DENW,0.2645057505715178,150.0046233127397,2012
DERP,0.2706982743461421,167.28598742138365,2012
DESH,0.2791501960786421,155.51369592414565,2012
DESL,0.2512872601074955,173.11346153846154,2012
DESN,0.2584592732841203,175.9680987302977,2012
DEST,0.2479653418177034,166.80766690944404,2012
DETH,0.2495775432190164,163.53941717791412,2012
DEBB,0.2153909776243522,158.4308526868961,2013
DEBE,0.1388257808009101,154.9538807649044,2013
DEBW,0.2206221064802763,153.2666040644709,2013
DEBY,0.2160762057935909,150.1998193970421,2013
DEHB,0.2029567943793253,151.09464882943143,2013
DEHE,0.3148639138304437,140.9028378571089,2013
DEHH,0.1599119741728828,157.21484888304863,2013
DEMV,0.2589264771435698,170.17704344785383,2013
DENI,0.2394305527109074,148.40025301509658,2013
DENW,0.2673222496033618,141.585556173689,2013
DERP,0.3227032627168381,146.99917484276727,2013
DESH,0.2470339531657689,162.3066306709686,2013
DESL,0.3361069858584715,148.82753846153847,2013
DESN,0.2041602968242324,148.1730078809107,2013
DEST,0.2599438645917323,151.83433843165815,2013
DETH,0.2375045435066032,139.4861226993865,2013
DEBB,0.2612936601201083,173.3919206645194,2014
DEBE,0.2058761279750176,173.83408323959506,2014
DEBW,0.2851307943327305,166.63835178696567,2014
DEBY,0.2512469456089776,161.29202929465302,2014
DEHB,0.1937812158074378,163.9655518394649,2014
DEHE,0.3058625134587714,149.53687312829777,2014
DEHH,0.2296088891706746,165.80223390275953,2014
DEMV,0.2838517987999703,173.56411836699013,2014
DENI,0.2774620554214825,157.3380513620646,2014
DENW,0.2321179025871854,153.5493075278892,2014
DERP,0.2615296179321422,158.0927496855346,2014
DESH,0.2911294184039918,169.18137222624614,2014
DESL,0.2509160501378221,160.02607692307691,2014
DESN,0.2478647645322833,166.25870731173384,2014
DEST,0.2826338476307618,164.8497450837582,2014
DETH,0.2737375018717685,155.47206134969326,2014
